filename,width,height,class,xmin,ymin,xmax,ymax
00000.jpg,1920,1080,person,750,118,789,276
00000.jpg,1920,1080,person,1473,139,1524,300
00005.jpg,1920,1080,person,442,134,500,330
00005.jpg,1920,1080,person,1060,109,1097,239
00005.jpg,1920,1080,person,934,135,981,312
00005.jpg,1920,1080,person,1657,171,1726,374
00005.jpg,1920,1080,person,884,303,1004,740
00005.jpg,1920,1080,person,1178,110,1215,239
00010.jpg,1920,1080,person,919,137,967,317
00010.jpg,1920,1080,person,898,166,959,395
00010.jpg,1920,1080,person,1318,128,1364,279
00015.jpg,1920,1080,person,1555,158,1617,347
00015.jpg,1920,1080,person,1455,339,1610,806
00015.jpg,1920,1080,person,841,170,903,406
00015.jpg,1920,1080,person,1406,120,1448,253
00020.jpg,1920,1080,person,1635,136,1685,286
00020.jpg,1920,1080,person,1158,116,1198,255
00020.jpg,1920,1080,person,292,369,473,927
00020.jpg,1920,1080,person,946,134,993,309
00020.jpg,1920,1080,person,1446,139,1498,301
00025.jpg,1920,1080,person,913,137,962,318
00030.jpg,1920,1080,person,1343,121,1384,259
00030.jpg,1920,1080,person,1727,170,1796,370
00035.jpg,1920,1080,person,630,207,709,509
00035.jpg,1920,1080,person,1455,139,1506,300
00035.jpg,1920,1080,person,1350,120,1391,256
00035.jpg,1920,1080,person,917,137,965,319
00040.jpg,1920,1080,person,1398,128,1444,274
00040.jpg,1920,1080,person,100,994,604,2381
00040.jpg,1920,1080,person,1651,142,1704,300
00045.jpg,1920,1080,person,1085,102,1118,220
00045.jpg,1920,1080,person,1630,135,1680,284
00045.jpg,1920,1080,person,1395,117,1435,246
00045.jpg,1920,1080,person,1591,143,1645,305
00050.jpg,1920,1080,person,923,138,972,321
00050.jpg,1920,1080,person,1782,159,1845,338
00055.jpg,1920,1080,person,1533,148,1589,321
00055.jpg,1920,1080,person,1656,144,1710,306
00060.jpg,1920,1080,person,1327,289,1453,689
00060.jpg,1920,1080,person,1443,116,1482,243
00060.jpg,1920,1080,person,1736,148,1792,313
00065.jpg,1920,1080,person,939,134,986,309
00065.jpg,1920,1080,person,1652,145,1707,307
00070.jpg,1920,1080,person,1556,143,1610,308
00080.jpg,1920,1080,person,1257,113,1295,241
00080.jpg,1920,1080,person,1333,105,1367,217
00085.jpg,1920,1080,person,480,347,631,866
00090.jpg,1920,1080,person,1634,141,1687,300
00090.jpg,1920,1080,person,1531,139,1582,297
00090.jpg,1920,1080,person,1587,143,1641,307
00095.jpg,1920,1080,person,1363,111,1400,233
00100.jpg,1920,1080,person,1196,113,1234,244
00100.jpg,1920,1080,person,1656,142,1709,301
00105.jpg,1920,1080,person,1516,136,1566,290
00105.jpg,1920,1080,person,1396,118,1437,250
00110.jpg,1920,1080,person,1650,141,1703,299
00110.jpg,1920,1080,person,1488,150,1545,328
00115.jpg,1920,1080,person,1389,113,1427,237
00115.jpg,1920,1080,person,1452,144,1506,314
00120.jpg,1920,1080,person,1415,107,1450,219
00120.jpg,1920,1080,person,1755,139,1806,288
00120.jpg,1920,1080,person,1593,152,1651,329
00120.jpg,1920,1080,person,1473,130,1519,276
00120.jpg,1920,1080,person,920,138,968,320
00125.jpg,1920,1080,person,1604,140,1656,297
00125.jpg,1920,1080,person,1767,139,1818,287
00125.jpg,1920,1080,person,1815,185,1893,405
00130.jpg,1920,1080,person,1323,132,1371,287
00130.jpg,1920,1080,person,1494,142,1547,307
00135.jpg,1920,1080,person,1154,100,1186,212
00150.jpg,1920,1080,person,1544,158,1605,346
00150.jpg,1920,1080,person,1707,163,1772,352
00155.jpg,1920,1080,person,1586,134,1635,283
00160.jpg,1920,1080,person,1268,118,1308,254
00165.jpg,1920,1080,person,1568,131,1615,276
00175.jpg,1920,1080,person,1465,140,1517,302
