filename,width,height,class,xmin,ymin,xmax,ymax
0,1920,1080,person,1510,139,1561,299
0,1920,1080,person,504,129,557,315
0,1920,1080,person,1190,114,1229,247
0,1920,1080,person,1214,124,1258,273
5,1920,1080,person,1066,169,1130,395
5,1920,1080,person,1367,130,1414,281
5,1920,1080,person,1655,142,1709,301
5,1920,1080,person,1394,123,1437,261
5,1920,1080,person,924,137,972,318
5,1920,1080,person,938,107,973,241
5,1920,1080,person,934,135,981,312
5,1920,1080,person,1453,136,1503,294
5,1920,1080,person,1279,125,1323,273
10,1920,1080,person,1642,137,1693,288
10,1920,1080,person,1375,130,1422,282
10,1920,1080,person,931,134,978,310
10,1920,1080,person,504,129,557,315
10,1920,1080,person,1318,128,1364,279
15,1920,1080,person,568,354,713,879
15,1920,1080,person,-1,-1,-1,-1
15,1920,1080,person,1263,134,1311,295
20,1920,1080,person,-1,-1,-1,-1
20,1920,1080,person,1282,350,1438,843
20,1920,1080,person,1790,167,1858,360
20,1920,1080,person,751,118,791,276
20,1920,1080,person,938,107,973,240
20,1920,1080,person,1651,142,1704,301
20,1920,1080,person,505,129,558,315
20,1920,1080,person,-1,-1,-1,-1
20,1920,1080,person,1556,139,1607,297
20,1920,1080,person,-1,-1,-1,-1
25,1920,1080,person,1294,122,1337,265
25,1920,1080,person,801,192,872,465
25,1920,1080,person,1061,762,1409,1831
25,1920,1080,person,950,104,984,232
25,1920,1080,person,1427,131,1474,281
25,1920,1080,person,1452,119,1493,249
25,1920,1080,person,1431,137,1481,296
25,1920,1080,person,-1,-1,-1,-1
25,1920,1080,person,1536,531,1800,1273
25,1920,1080,person,913,137,962,318
25,1920,1080,person,1653,142,1707,301
30,1920,1080,person,1626,157,1688,342
30,1920,1080,person,1471,119,1512,248
30,1920,1080,person,1484,143,1537,310
30,1920,1080,person,627,193,701,472
30,1920,1080,person,-138,459,141,1162
30,1920,1080,person,913,137,962,318
30,1920,1080,person,646,937,1047,2240
35,1920,1080,person,630,207,709,509
35,1920,1080,person,956,104,991,232
35,1920,1080,person,535,203,619,502
35,1920,1080,person,1473,117,1513,244
35,1920,1080,person,1350,120,1391,256
35,1920,1080,person,-1,-1,-1,-1
35,1920,1080,person,1158,109,1194,235
35,1920,1080,person,935,107,970,240
