filename,width,height,class,xmin,ymin,xmax,ymax
00845.jpg,480,270,person,62,48,266,462
00685.jpg,480,270,person,-5,46,5,484
01945.jpg,480,270,person,111,39,460,338
00735.jpg,480,270,person,78,43,330,398
01925.jpg,480,270,person,67,47,286,448
01565.jpg,480,270,person,-6,48,2,509
01770.jpg,480,270,person,77,44,327,409
00870.jpg,480,270,person,60,44,257,417
01625.jpg,480,270,person,78,43,331,394
01385.jpg,480,270,person,98,33,406,283
00490.jpg,480,270,person,69,172,356,1660
01755.jpg,480,270,person,51,46,223,445
00875.jpg,480,270,person,86,26,355,214
00940.jpg,480,270,person,111,35,457,291
01155.jpg,480,270,person,59,45,255,434
00725.jpg,480,270,person,92,31,382,262
01810.jpg,480,270,person,98,51,415,471
00510.jpg,480,270,person,52,40,223,390
00180.jpg,480,270,person,93,34,386,293
01650.jpg,480,270,person,85,29,351,244
00305.jpg,480,270,person,71,25,295,213
00910.jpg,480,270,person,47,119,236,1172
01880.jpg,480,270,person,102,78,445,734
01060.jpg,480,270,person,51,46,222,446
01810.jpg,480,270,person,108,65,465,606
01530.jpg,480,270,person,95,32,394,274
01915.jpg,480,270,person,60,49,259,474
01020.jpg,480,270,person,59,49,258,476
00930.jpg,480,270,person,78,31,324,273
00135.jpg,480,270,person,99,34,409,294
01485.jpg,480,270,person,51,46,221,447
01145.jpg,480,270,person,89,30,366,255
01575.jpg,480,270,person,67,47,286,449
01600.jpg,480,270,person,51,46,222,448
00810.jpg,480,270,person,95,33,393,289
01230.jpg,480,270,person,-3,48,15,506
00295.jpg,480,270,person,76,26,315,220
00945.jpg,480,270,person,5,119,88,1198
01570.jpg,480,270,person,93,33,384,281
00375.jpg,480,270,person,97,38,405,338
01790.jpg,480,270,person,94,40,393,354
00930.jpg,480,270,person,29,135,178,1335
00050.jpg,480,270,person,-11,126,30,1278
00655.jpg,480,270,person,76,32,316,290
01190.jpg,480,270,person,93,82,412,784
00910.jpg,480,270,person,47,96,226,952
01305.jpg,480,270,person,60,49,261,470
01770.jpg,480,270,person,90,29,370,241
01110.jpg,480,270,person,100,41,419,366
01110.jpg,480,270,person,111,35,458,294
00055.jpg,480,270,person,57,34,243,321
00970.jpg,480,270,person,11,104,99,1050
01570.jpg,480,270,person,86,26,354,213
00445.jpg,480,270,person,111,34,458,284
00410.jpg,480,270,person,78,30,324,264
