filename,width,height,class,xmin,ymin,xmax,ymax
01380.jpg,480,270,person,94,27,386,226
01485.jpg,480,270,person,79,43,335,393
01495.jpg,480,270,person,89,26,366,217
01395.jpg,480,270,person,67,58,293,555
01370.jpg,480,270,person,80,25,331,206
01370.jpg,480,270,person,68,48,291,452
01380.jpg,480,270,person,60,45,259,435
01350.jpg,480,270,person,52,50,228,484
01475.jpg,480,270,person,96,30,398,248
01485.jpg,480,270,person,90,27,370,229
01450.jpg,480,270,person,107,53,452,479
01435.jpg,480,270,person,100,31,412,261
01420.jpg,480,270,person,79,36,332,328
01495.jpg,480,270,person,51,46,222,448
01425.jpg,480,270,person,98,31,404,260
01350.jpg,480,270,person,61,49,262,470
01430.jpg,480,270,person,67,48,290,451
01525.jpg,480,270,person,61,49,263,472
01380.jpg,480,270,person,112,53,471,477
01435.jpg,480,270,person,60,49,262,469
01435.jpg,480,270,person,95,40,396,351
01355.jpg,480,270,person,52,50,228,484
01450.jpg,480,270,person,-6,49,3,511
01510.jpg,480,270,person,96,32,395,272
01530.jpg,480,270,person,61,49,263,472
01355.jpg,480,270,person,82,26,340,215
01470.jpg,480,270,person,59,40,251,377
01370.jpg,480,270,person,84,138,404,1334
01485.jpg,480,270,person,84,27,345,225
01485.jpg,480,270,person,77,25,316,212
01485.jpg,480,270,person,59,45,256,433
01355.jpg,480,270,person,90,27,370,224
01500.jpg,480,270,person,98,34,407,289
01405.jpg,480,270,person,83,30,345,257
01385.jpg,480,270,person,14,106,111,1068
01435.jpg,480,270,person,51,46,222,448
01475.jpg,480,270,person,88,28,363,239
01490.jpg,480,270,person,52,49,227,481
01440.jpg,480,270,person,51,46,222,448
01410.jpg,480,270,person,90,25,370,209
01490.jpg,480,270,person,93,43,391,386
01475.jpg,480,270,person,59,40,251,377
01415.jpg,480,270,person,104,39,431,338
01385.jpg,480,270,person,99,40,413,354
01365.jpg,480,270,person,103,36,427,312
01360.jpg,480,270,person,112,53,472,476
01450.jpg,480,270,person,99,33,410,278
01510.jpg,480,270,person,59,40,251,379
01520.jpg,480,270,person,51,46,221,447
01380.jpg,480,270,person,57,59,254,579
01405.jpg,480,270,person,-7,49,2,510
01470.jpg,480,270,person,51,46,221,447
01430.jpg,480,270,person,-6,49,3,511
01375.jpg,480,270,person,79,43,334,393
01415.jpg,480,270,person,112,54,472,486
01470.jpg,480,270,person,108,39,449,342
01465.jpg,480,270,person,111,41,462,353
01405.jpg,480,270,person,79,43,335,393
01430.jpg,480,270,person,109,34,450,288
01495.jpg,480,270,person,99,34,409,295
01360.jpg,480,270,person,86,26,353,222
01375.jpg,480,270,person,90,27,371,223
01385.jpg,480,270,person,92,36,382,314
01510.jpg,480,270,person,82,25,336,205
01350.jpg,480,270,person,94,27,388,227
01370.jpg,480,270,person,94,63,405,592
01390.jpg,480,270,person,5,114,85,1148
01375.jpg,480,270,person,94,27,387,227
01400.jpg,480,270,person,-6,49,3,511
01410.jpg,480,270,person,101,35,420,302
01365.jpg,480,270,person,59,39,251,374
01460.jpg,480,270,person,52,49,228,482
01380.jpg,480,270,person,109,42,456,364
01390.jpg,480,270,person,52,58,233,565
01520.jpg,480,270,person,59,45,255,433
01480.jpg,480,270,person,8,37,54,386
01410.jpg,480,270,person,108,34,448,288
01395.jpg,480,270,person,88,26,363,216
01430.jpg,480,270,person,99,35,412,302
01395.jpg,480,270,person,82,137,394,1322
01520.jpg,480,270,person,94,31,389,260
01500.jpg,480,270,person,79,43,335,393
01385.jpg,480,270,person,59,61,260,593
01495.jpg,480,270,person,67,47,289,451
01355.jpg,480,270,person,111,40,462,345
01400.jpg,480,270,person,88,26,363,214
01370.jpg,480,270,person,109,37,452,313
01350.jpg,480,270,person,90,27,371,225
01435.jpg,480,270,person,-6,49,3,511
01430.jpg,480,270,person,96,35,397,305
01355.jpg,480,270,person,88,92,398,887
01415.jpg,480,270,person,79,43,335,393
01430.jpg,480,270,person,108,35,445,298
01455.jpg,480,270,person,6,38,49,393
01500.jpg,480,270,person,8,37,54,386
01530.jpg,480,270,person,59,45,255,433
01355.jpg,480,270,person,82,60,353,566
01450.jpg,480,270,person,59,40,251,379
01520.jpg,480,270,person,88,26,363,212
01450.jpg,480,270,person,52,49,228,482
01390.jpg,480,270,person,94,36,390,311
01460.jpg,480,270,person,59,45,256,433
01355.jpg,480,270,person,91,28,374,232
01450.jpg,480,270,person,104,45,436,402
01505.jpg,480,270,person,107,53,454,479
01440.jpg,480,270,person,102,35,423,298
01515.jpg,480,270,person,81,24,334,203
01435.jpg,480,270,person,106,52,450,471
01510.jpg,480,270,person,79,43,335,393
01505.jpg,480,270,person,83,25,340,209
01425.jpg,480,270,person,51,46,222,448
01495.jpg,480,270,person,79,43,335,393
01360.jpg,480,270,person,105,37,435,320
01420.jpg,480,270,person,60,45,259,435
01370.jpg,480,270,person,59,99,277,973
01350.jpg,480,270,person,98,35,406,300
01415.jpg,480,270,person,36,47,165,465
01370.jpg,480,270,person,-4,48,11,508
01400.jpg,480,270,person,84,30,350,259
01510.jpg,480,270,person,-6,49,4,511
01345.jpg,480,270,person,61,49,262,470
01410.jpg,480,270,person,96,31,395,260
01355.jpg,480,270,person,112,53,472,476
01410.jpg,480,270,person,6,38,48,393
01390.jpg,480,270,person,57,58,250,565
01385.jpg,480,270,person,-4,48,11,507
01490.jpg,480,270,person,77,25,316,209
01510.jpg,480,270,person,8,37,54,386
01420.jpg,480,270,person,111,54,471,485
01490.jpg,480,270,person,100,35,415,302
01475.jpg,480,270,person,93,29,382,240
01375.jpg,480,270,person,90,32,375,276
01495.jpg,480,270,person,63,30,265,272
01360.jpg,480,270,person,111,39,460,334
01350.jpg,480,270,person,83,138,401,1330
01375.jpg,480,270,person,112,43,466,379
01485.jpg,480,270,person,59,40,251,377
01460.jpg,480,270,person,91,30,375,256
01395.jpg,480,270,person,101,43,421,378
01350.jpg,480,270,person,58,40,247,379
01455.jpg,480,270,person,50,35,216,334
01355.jpg,480,270,person,79,42,333,392
01500.jpg,480,270,person,59,45,256,433
01445.jpg,480,270,person,47,37,202,356
01485.jpg,480,270,person,8,37,54,386
01490.jpg,480,270,person,107,53,454,479
01395.jpg,480,270,person,-8,124,41,1256
01390.jpg,480,270,person,60,49,259,468
01500.jpg,480,270,person,64,29,269,263
01385.jpg,480,270,person,26,117,159,1170
01365.jpg,480,270,person,79,43,334,393
01420.jpg,480,270,person,109,40,455,350
01530.jpg,480,270,person,-6,49,4,510
01435.jpg,480,270,person,60,45,259,435
01430.jpg,480,270,person,60,49,262,469
01385.jpg,480,270,person,89,27,368,221
01410.jpg,480,270,person,112,40,466,343
01420.jpg,480,270,person,53,49,231,478
01435.jpg,480,270,person,79,43,334,393
01440.jpg,480,270,person,110,35,453,296
01360.jpg,480,270,person,95,34,394,290
01420.jpg,480,270,person,101,38,418,329
01375.jpg,480,270,person,49,104,241,1025
01400.jpg,480,270,person,71,32,297,292
01405.jpg,480,270,person,53,50,232,482
01460.jpg,480,270,person,113,42,471,364
01460.jpg,480,270,person,100,31,411,260
01525.jpg,480,270,person,50,37,215,357
01470.jpg,480,270,person,108,53,455,480
01425.jpg,480,270,person,83,38,347,340
01515.jpg,480,270,person,59,45,254,432
01395.jpg,480,270,person,109,35,451,290
01400.jpg,480,270,person,60,49,260,468
01370.jpg,480,270,person,90,27,372,224
01450.jpg,480,270,person,100,31,414,263
01455.jpg,480,270,person,8,46,58,476
01475.jpg,480,270,person,61,32,257,299
01465.jpg,480,270,person,108,53,455,480
01420.jpg,480,270,person,84,137,401,1323
01465.jpg,480,270,person,87,27,358,228
01495.jpg,480,270,person,66,30,276,272
01525.jpg,480,270,person,58,40,249,379
01365.jpg,480,270,person,81,25,334,209
01380.jpg,480,270,person,82,60,357,568
01385.jpg,480,270,person,109,35,449,294
01360.jpg,480,270,person,58,40,250,378
01400.jpg,480,270,person,82,137,394,1322
01360.jpg,480,270,person,90,35,373,313
01485.jpg,480,270,person,107,53,454,480
01445.jpg,480,270,person,60,45,259,435
01470.jpg,480,270,person,79,43,335,393
01440.jpg,480,270,person,67,48,290,451
01465.jpg,480,270,person,0,44,29,463
01375.jpg,480,270,person,59,40,250,376
01390.jpg,480,270,person,109,35,450,291
01350.jpg,480,270,person,111,41,462,352
01410.jpg,480,270,person,-6,49,3,511
01495.jpg,480,270,person,8,37,54,386
01510.jpg,480,270,person,61,49,263,470
01485.jpg,480,270,person,-6,49,4,511
01430.jpg,480,270,person,93,142,444,1363
01390.jpg,480,270,person,6,38,49,393
01400.jpg,480,270,person,79,43,334,393
01420.jpg,480,270,person,67,48,290,451
01425.jpg,480,270,person,87,37,365,334
01370.jpg,480,270,person,51,46,222,448
01440.jpg,480,270,person,87,30,361,255
01495.jpg,480,270,person,83,26,344,217
01445.jpg,480,270,person,19,47,102,481
01465.jpg,480,270,person,95,30,393,253
01385.jpg,480,270,person,82,137,394,1322
01390.jpg,480,270,person,89,26,366,219
01425.jpg,480,270,person,38,52,175,514
01515.jpg,480,270,person,100,35,413,298
01405.jpg,480,270,person,96,31,396,262
01465.jpg,480,270,person,52,50,228,482
01350.jpg,480,270,person,88,64,382,603
01445.jpg,480,270,person,60,49,262,469
01500.jpg,480,270,person,61,49,264,471
01400.jpg,480,270,person,101,44,425,391
01445.jpg,480,270,person,100,43,417,386
01400.jpg,480,270,person,98,35,407,307
01465.jpg,480,270,person,-6,49,3,511
01455.jpg,480,270,person,52,49,228,482
01495.jpg,480,270,person,61,49,264,471
01380.jpg,480,270,person,-4,48,11,507
01475.jpg,480,270,person,84,28,348,235
01470.jpg,480,270,person,77,26,316,219
01445.jpg,480,270,person,90,32,375,277
01365.jpg,480,270,person,-4,48,11,508
01480.jpg,480,270,person,60,31,251,291
01490.jpg,480,270,person,64,31,270,281
01425.jpg,480,270,person,79,43,334,393
01420.jpg,480,270,person,51,46,221,447
01350.jpg,480,270,person,82,37,344,329
01410.jpg,480,270,person,82,29,340,254
01440.jpg,480,270,person,106,52,450,471
01440.jpg,480,270,person,99,41,414,363
01375.jpg,480,270,person,-4,48,11,508
01410.jpg,480,270,person,51,46,221,447
01435.jpg,480,270,person,98,138,462,1320
01465.jpg,480,270,person,77,26,316,222
01480.jpg,480,270,person,59,40,252,378
01385.jpg,480,270,person,93,27,381,222
01420.jpg,480,270,person,6,38,46,392
01465.jpg,480,270,person,67,47,289,451
01450.jpg,480,270,person,51,46,222,448
01400.jpg,480,270,person,97,31,399,266
01375.jpg,480,270,person,112,53,471,477
01385.jpg,480,270,person,112,53,471,477
01425.jpg,480,270,person,60,45,259,435
01405.jpg,480,270,person,74,33,309,298
01395.jpg,480,270,person,79,43,334,393
01420.jpg,480,270,person,59,40,251,379
01475.jpg,480,270,person,58,32,246,298
01365.jpg,480,270,person,94,33,388,286
01420.jpg,480,270,person,98,31,403,259
01530.jpg,480,270,person,58,40,249,379
01445.jpg,480,270,person,67,48,290,451
01430.jpg,480,270,person,99,31,410,261
01450.jpg,480,270,person,87,29,360,243
01370.jpg,480,270,person,39,95,195,949
01435.jpg,480,270,person,29,50,141,497
01510.jpg,480,270,person,52,49,228,479
01445.jpg,480,270,person,51,46,222,448
01420.jpg,480,270,person,-6,49,3,511
01425.jpg,480,270,person,67,48,290,451
01425.jpg,480,270,person,85,143,411,1383
01435.jpg,480,270,person,6,38,47,392
01490.jpg,480,270,person,86,27,355,223
01490.jpg,480,270,person,111,40,463,349
01445.jpg,480,270,person,107,34,442,281
01515.jpg,480,270,person,51,50,223,488
01405.jpg,480,270,person,111,54,471,485
01435.jpg,480,270,person,104,36,431,310
01415.jpg,480,270,person,44,46,196,450
01505.jpg,480,270,person,91,27,374,223
01485.jpg,480,270,person,100,29,410,238
01365.jpg,480,270,person,88,37,369,333
01395.jpg,480,270,person,96,35,398,309
01480.jpg,480,270,person,87,28,360,233
01425.jpg,480,270,person,107,39,447,335
01390.jpg,480,270,person,100,41,418,367
01515.jpg,480,270,person,8,37,54,386
01510.jpg,480,270,person,59,45,255,433
01495.jpg,480,270,person,93,28,383,232
01465.jpg,480,270,person,6,38,49,393
01365.jpg,480,270,person,74,63,325,608
01390.jpg,480,270,person,87,31,362,264
01495.jpg,480,270,person,86,41,362,376
01440.jpg,480,270,person,52,49,228,482
01355.jpg,480,270,person,86,27,354,226
01445.jpg,480,270,person,-6,49,3,511
01385.jpg,480,270,person,51,46,223,448
01440.jpg,480,270,person,92,33,382,285
01520.jpg,480,270,person,61,49,263,470
01400.jpg,480,270,person,53,50,231,482
01485.jpg,480,270,person,87,27,358,227
