filename,width,height,class,xmin,ymin,xmax,ymax
00000000,1920,1080,person,1510,139,1561,299
00000000,1920,1080,person,1273,129,1319,282
00000000,1920,1080,person,1326,128,1372,279
00000000,1920,1080,person,69,147,152,378
00000000,1920,1080,person,-1,-1,-1,-1
00000000,1920,1080,person,442,134,500,330
00000000,1920,1080,person,1739,178,1812,390
00000000,1920,1080,person,1060,109,1097,239
00000000,1920,1080,person,-1,-1,-1,-1
00000000,1920,1080,person,1555,139,1607,298
00000000,1920,1080,person,924,137,972,318
00000000,1920,1080,person,504,129,557,315
00000000,1920,1080,person,1282,121,1324,261
00000000,1920,1080,person,1434,768,1822,1831
00000000,1920,1080,person,1692,157,1753,337
00000000,1920,1080,person,939,107,975,241
00000000,1920,1080,person,1545,148,1602,320
00000000,1920,1080,person,1383,123,1427,263
00000000,1920,1080,person,1651,137,1702,289
00000000,1920,1080,person,894,360,1039,883
00000000,1920,1080,person,750,118,789,276
00000000,1920,1080,person,-1,-1,-1,-1
00000000,1920,1080,person,1063,330,1201,801
00000000,1920,1080,person,-1,-1,-1,-1
00000000,1920,1080,person,1013,156,1071,364
00000000,1920,1080,person,1473,139,1524,300
00000000,1920,1080,person,1120,164,1181,379
00000000,1920,1080,person,1190,114,1229,247
00000000,1920,1080,person,1214,124,1258,273
00000000,1920,1080,person,938,135,986,312
00000000,1920,1080,person,1038,295,1159,715
00000000,1920,1080,person,1732,155,1792,332
00000000,1920,1080,person,1383,131,1430,284
00000000,1920,1080,person,-1,-1,-1,-1
00000000,1920,1080,person,1651,142,1704,301
00000000,1920,1080,person,1361,144,1415,319
00000000,1920,1080,person,1202,128,1248,284
00000000,1920,1080,person,953,104,987,232
00000005,1920,1080,person,1066,169,1130,395
00000005,1920,1080,person,1652,153,1712,329
00000005,1920,1080,person,-2,150,86,389
00000005,1920,1080,person,1367,130,1414,281
00000005,1920,1080,person,442,134,500,330
00000005,1920,1080,person,1060,109,1097,239
00000005,1920,1080,person,1655,142,1709,301
00000005,1920,1080,person,1642,137,1693,288
00000005,1920,1080,person,1394,123,1437,261
00000005,1920,1080,person,924,137,972,318
00000005,1920,1080,person,1179,127,1223,281
00000005,1920,1080,person,955,160,1014,377
00000005,1920,1080,person,938,107,973,241
00000005,1920,1080,person,-1,-1,-1,-1
00000005,1920,1080,person,934,135,981,312
00000005,1920,1080,person,1657,171,1726,374
00000005,1920,1080,person,1258,122,1301,265
00000005,1920,1080,person,1453,136,1503,294
00000005,1920,1080,person,1711,152,1770,325
00000005,1920,1080,person,884,303,1004,740
00000005,1920,1080,person,1178,110,1215,239
00000005,1920,1080,person,1556,139,1607,297
00000005,1920,1080,person,1262,126,1306,276
00000005,1920,1080,person,919,337,1055,824
00000005,1920,1080,person,748,118,787,276
00000005,1920,1080,person,952,104,986,232
00000005,1920,1080,person,1279,125,1323,273
00000005,1920,1080,person,1485,137,1535,294
00000005,1920,1080,person,-1,-1,-1,-1
00000005,1920,1080,person,502,129,555,315
00000005,1920,1080,person,-1,-1,-1,-1
00000005,1920,1080,person,1296,139,1347,306
00000005,1920,1080,person,1516,146,1571,317
00000005,1920,1080,person,1320,129,1366,280
00000005,1920,1080,person,-1,-1,-1,-1
00000005,1920,1080,person,743,369,887,911
00000010,1920,1080,person,1221,123,1264,270
00000010,1920,1080,person,919,137,967,317
00000010,1920,1080,person,1642,137,1693,288
00000010,1920,1080,person,1389,120,1430,255
00000010,1920,1080,person,1375,130,1422,282
00000010,1920,1080,person,1497,143,1551,310
00000010,1920,1080,person,761,359,901,886
00000010,1920,1080,person,1284,123,1327,266
00000010,1920,1080,person,931,134,978,310
00000010,1920,1080,person,936,107,971,240
00000010,1920,1080,person,504,129,557,315
00000010,1920,1080,person,898,166,959,395
00000010,1920,1080,person,697,307,815,759
00000010,1920,1080,person,1150,125,1194,277
00000010,1920,1080,person,-1,-1,-1,-1
00000010,1920,1080,person,1318,128,1364,279
00000010,1920,1080,person,1037,106,1072,233
00000010,1920,1080,person,-1,-1,-1,-1
00000010,1920,1080,person,-1,-1,-1,-1
00000010,1920,1080,person,1271,134,1320,297
00000010,1920,1080,person,444,134,502,330
00000010,1920,1080,person,-1,-1,-1,-1
00000010,1920,1080,person,1463,136,1512,292
00000010,1920,1080,person,748,118,787,276
00000010,1920,1080,person,998,172,1062,405
00000010,1920,1080,person,1634,151,1692,325
00000010,1920,1080,person,1556,139,1607,297
00000010,1920,1080,person,952,104,986,232
00000010,1920,1080,person,571,384,728,952
00000010,1920,1080,person,1168,108,1204,232
00000010,1920,1080,person,1604,162,1668,355
00000010,1920,1080,person,1696,149,1753,317
00000010,1920,1080,person,1653,142,1707,301
00000010,1920,1080,person,1457,136,1507,292
